date,p_usdt,v_usdt,r_usdt,dev_usdt,vc_usdt,p_usdc,v_usdc,r_usdc,dev_usdc,vc_usdc,r_btc,t
2020-07-01,1.0015610456466675,20410901924,,0.0015610456466674805,,1.0003249645233154,277293073,,0.0003249645233154297,,,0
2020-07-02,1.0157179832458496,21713824216,0.014035906598196786,0.01571798324584961,0.06187995221031999,1.0057460069656372,268646941,0.0054046499004182565,0.005746006965637207,-0.03167694159627626,-0.011433924918011266,1
2020-07-03,0.999521017074585,17207532375,-0.016074832754024264,0.00047898292541503906,-0.2326019016189283,1.0002379417419434,250629643,-0.005491648195902368,0.00023794174194335938,-0.06942170697254046,-0.003965412107265914,2
2020-07-04,1.0010780096054077,16834529314,0.001556526644682215,0.0010780096054077148,-0.021915123289830522,0.9995759725570679,230791965,-0.0006620308062864541,0.0004240274429321289,-0.08245960323859475,0.004959953765059784,3
2020-07-05,0.998898983001709,18453609716,-0.0021790525330747756,0.0011010169982910156,0.09182790646771248,0.9978169798851013,229374669,-0.0017612890087910379,0.0021830201148986816,-0.0061599445804037,-0.006431364974036432,4
2020-07-06,1.0002360343933105,28513816011,0.0013376301043480456,0.00023603439331054688,0.43512874221271836,0.9992070198059082,262308134,0.0013921116075826317,0.0007929801940917969,0.13416312092955335,0.032690364054528694,5
2020-07-07,0.9992070198059082,20262759503,-0.0010293013107737926,0.0007929801940917969,-0.3416040480890992,1.0001449584960938,251459273,0.0009382427598243991,0.00014495849609375,-0.042238856640603194,-0.013227475028494522,6
2020-07-08,0.9998599886894226,28520237097,0.0006532736561222096,0.00014001131057739258,0.3418292148334288,0.9992240071296692,338710426,-0.000921242099273629,0.0007759928703308105,0.29786450170829165,0.01884958505462196,7
2020-07-09,1.0030750036239624,24559681375,0.003210306583147111,0.0030750036239624023,-0.14950777900641724,1.003674030303955,262565337,0.004443591649144138,0.003674030303955078,-0.25464558783562014,-0.016076772716190905,8
2020-07-10,0.9999859929084778,19416307998,-0.0030842926596935903,1.4007091522216797e-05,-0.23499279846309,0.9999300241470337,268662387,-0.003737275841887214,6.99758529663086e-05,0.02295557051360501,9.051613040455209e-05,9
2020-07-11,1.0010520219802856,16806691103,0.0010654761825871538,0.0010520219802856445,-0.14433624434379144,1.0008219480514526,228429648,0.0008915887385317055,0.0008219480514526367,-0.16222724771812327,-0.004153644618958577,10
2020-07-12,0.9986339807510376,18560508406,-0.0024184220967607235,0.0013660192489624023,0.09925903249025325,0.998242974281311,247223175,-0.002580181535965318,0.0017570257186889648,0.07906319447615313,0.0039049160883403893,11
2020-07-13,0.9995520114898682,23293356124,0.0009188642168319814,0.00044798851013183594,0.227132055469876,1.002431035041809,284329507,0.004186655955314398,0.002431035041809082,0.13984233033389365,-0.003551357868856212,12
2020-07-14,0.9990460276603699,21927614040,-0.0005063387738774449,0.000953972339630127,-0.06042141741225844,0.9988080263137817,272931352,-0.0036207695083673155,0.0011919736862182617,-0.04091349583450351,-4.331631390260929e-05,13
2020-07-15,0.9994440078735352,19801020732,0.000398280913439472,0.0005559921264648438,-0.10201326911222108,0.999521017074585,257140387,0.0007135869774972251,0.00047898292541503906,-0.05959811701697666,-0.005465061808117076,14
2020-07-16,0.9999799728393555,20174060342,0.0005361193862111457,2.002716064453125e-05,0.018664149212858402,0.9999430179595947,278630288,0.0004221140104364235,5.698204040527344e-05,0.08026358176855439,-0.006614939463274875,15
2020-07-17,0.9996160268783569,16824229378,-0.0003640194970072062,0.0003839731216430664,-0.1815775654230648,0.9992190003395081,248319472,-0.000724321135669442,0.0007809996604919434,-0.11516965973631342,0.002096417007004295,16
2020-07-18,0.9987949728965759,15430964635,-0.0008217068741831559,0.0012050271034240723,-0.08644389101146602,0.9975590109825134,237728742,-0.0016626682886105297,0.0024409890174865723,-0.043585826525248096,0.0008353119275824921,17
2020-07-19,0.9983519911766052,16068695380,-0.0004436145513616882,0.0016480088233947754,0.040496811610719385,0.997107982635498,239654085,-0.0004522342387429604,0.002892017364501953,0.008066286973312213,0.0029193317943758054,18
